demonstrated_skill,count
form-presentation,25
greeting,24
template-rendering,24
policy-clarification,12
multi-step-instruction,8
resource-linking,4
information-provision,3
integration-guidance,2
billing-explanation,2
information-gathering,2
form-handling,1
form-processing,1
contact-information-provision,1
verification-guidance,1
activation-instructions,1
problem-solving,1
link-provision,1
refund-policy-clarification,1
optimization-advice,1
instruction-giving,1
business-verification-initiation,1
multi-language-support,1
technical-explanation,1
step-by-step-instruction,1
escalation-procedure,1
specification-detailing,1
support-escalation,1
