error_pattern,count
no-errors-detected,633
conversation-abandoned,503
system-functioning-perfectly,481
no-technical-issues,441
invalid-operation-error,4
quota-exhaustion-notification,4
quota-exceeded-notification,3
no-technical-issues-detected,2
duplicate-response,2
no-response-from-support,2
incorrect-resource-link,2
response-delay-notification,2
incorrect-navigation-instructions,1
incorrect-initial-guidance,1
no-specific-error-detected,1
incorrect-guidance,1
quota-exhaustion,1
access-denied-error,1
email-attachment-not-received,1
slow-response-time,1
link-not-accessible,1
no-escalation-protocol,1
user-interface-access-issue,1
response-delay,1
broken-link,1
initial-response-delay,1
no-specific-guidance-available,1
non-functional-email,1
incorrect-url-provided,1
inability-to-access-external-sites,1
quota-exceeded,1
no-escalation-to-human-support,1
live agent transfer not supported,1
known-platform-issue,1
api-error-message,1
blank-responses,1
incomplete-information,1
platform-error-message,1
slow-response-notification,1
repetitive responses,1
no-specific-error-details-available,1
no-technical-issues-detected-by-bot,1
no-direct-live-agent-connection,1
incorrect platform assumption,1
repeated platform clarification,1
no-download-link-visible,1
incorrect-parameter-advice,1
