reason,count
no-user-request-to-solve,832
bot-lacks-cancellation-capability,63
user-request-unclear,17
user requested human assistance,9
user-abandoned-conversation,6
bot cannot access user account database,6
bot cannot approve ads directly,5
user requested live agent,4
requires human intervention for verification,4
user needs to contact support for further assistance,3
user-requested-human-assistance,3
user requested live agent multiple times,3
requires manual verification process,3
bot cannot expedite verification process,3
user required live agent assistance,3
user-requested-live-agent,3
ad approval requires human intervention,2
bot-cannot-connect-to-live-agent,2
user needs to contact support for resolution,2
bot lacks capability to process cancellations,2
bot cannot directly resolve profile rejection,2
bot directed user to email support,2
requires additional business verification information,2
bot cannot view images,2
requires human intervention for technical investigation,2
bot cannot delete web events,2
bot cannot facilitate direct human interaction,2
user needs to provide additional information via email,2
system-response-delay,2
requires account manager intervention,2
task requires human intervention,2
verification process delay,2
user did not confirm if troubleshooting steps resolved the issue,2
bot lacks capability to change account time zone,2
bot cannot approve campaigns,2
bot cannot process refunds,2
bot cannot process billing disputes directly,2
requires human intervention for technical troubleshooting,2
bot cannot expedite ad review process,2
bot cannot process appeals directly,2
requires human intervention for account-specific issues,2
bot lacks capability to approve ads,2
bot provided troubleshooting steps but issue persisted,2
user needs to complete business verification and meet spending requirements,2
requires human intervention for technical support,2
bot unable to respond due to message quota exhaustion,2
requires account verification process,2
requires human intervention for ad approval,2
bot suggested contacting support,2
no-follow-up-from-user,2
bot-cannot-transfer-to-human-agent,2
bot cannot directly cancel accounts,2
conversation was abandoned before resolution,2
bot cannot provide real-time account status updates,2
user-requested-human-agent,2
user needs to complete account verification process,1
user faced a permission issue preventing token generation,1
user lacks required account conditions for ad credit testing,1
bot lacks capability to delete events in Event Management,1
bot cannot resolve account-specific issues,1
requires human intervention for account verification and troubleshooting,1
bot-provided-information-but-did-not-resolve-delay,1
bot lacks capability to close ads account,1
bot redirected user to email support,1
bot provided incorrect navigation instructions,1
user could not find the specified sections,1
requires detailed business verification process not handled by bot,1
bot lacks capability to diagnose specific account spending issues,1
user repeated feedback message without clear task request,1
bot did not recognize user input as actionable,1
account verification needed,1
bot lacks capability to troubleshoot specific technical integration issues,1
ad credit for sweepstakes is not supported,1
user's account does not meet eligibility criteria for ad credit,1
bot cannot resolve verification issues directly,1
requires human intervention for document verification,1
user did not receive the proforma invoice and payment details as promised,1
bot lacks capability to expedite ad review process,1
"user's account might not be verified, requiring additional information",1
bot-lacks-live-chat-transfer-capability,1
bot lacks specific integration instructions for ClickMagick,1
bot lacks access to system logs,1
bot provided steps that did not match user's interface experience,1
user indicated absence of expected option to remove access,1
bot provided incorrect initial instructions,1
bot lacks capability to directly assist with pixel deletion,1
user unable to save postback URL despite successful test,1
potential permission or session issues,1
task-solved,1
bot-provided-clear-guidance,1
bot provided general advice but did not resolve the specific URL validation error,1
bot unable to connect to live agent directly,1
bot cannot directly fix payment issues,1
requires user action to update payment information,1
bot-lacks-specific-api-schema-access,1
bot lacks capability to resolve technical postback issues,1
user unable to find account settings due to possible interface issue,1
user's pixel integration issue persisted despite troubleshooting steps,1
user needs to follow email instructions for appeal,1
bot-provided-alternative-solution,1
dedicated account management not available for user without meeting spend threshold,1
user request was too vague for the bot to process,1
bot lacks capability to handle cancellations directly,1
user's ad scheduling settings did not function as expected despite following instructions,1
bot lacks capability to provide pixel directly,1
conversation ended due to quota exhaustion,1
bot cannot directly investigate or resolve budget discrepancies,1
user needs to meet ad spend threshold and provide documentation for verification,1
user requested live agent before bot could fully resolve the issue,1
bot lacks capability to directly change time zone settings,1
user needs to contact support team for assistance,1
"bot provided incorrect guidance initially, misunderstanding the user's request for web traffic targeting desktop users",1
invoice retrieval requires human support,1
ad volume issue in learning phase,1
bot cannot directly access or modify campaign settings,1
bot cannot directly modify campaign settings to target desktop users,1
conversion pixel issue unresolved,1
platform-specific guidance unavailable,1
external support needed,1
bot-cannot-create-support-tickets,1
user-request-for-ticket-creation-not-fulfilled,1
user-did-not-acknowledge-bot-explanation,1
bot-lacks-access-to-company-legal-information,1
ad approval process exceeded expected timeframe,1
bot cannot expedite approval,1
bot cannot generate invoices directly,1
user needs to contact support for invoice generation,1
bot lacks capability to set up ad schedule directly,1
bot cannot resolve access permissions or link issues directly,1
email delivery issue,1
attachment missing in email,1
bot cannot expedite ad approval,1
bot cannot expedite review process,1
verification delay,1
user requested human interaction,1
bot lacks capability to delete web events,1
bot cannot directly provide tax invoices,1
requires email to support team,1
bot lacks capability to change email,1
user unable to verify pixel integration on NewsBreak despite successful Shopify test,1
bot-repeated-message,1
no-cancellation-process,1
ad credits are non-transferable between accounts,1
user's ad was still rejected despite verifying URL functionality,1
bot could not provide a definitive solution to prevent future rejections,1
bot provided general troubleshooting steps but user issue persisted,1
user using custom code not addressed by bot's GTM-focused advice,1
bot cannot directly verify accounts,1
bot directed user to email support for individual verification,1
feature-not-supported for account deletion,1
user did not confirm resolution for illegal asset prompt,1
bot cannot process refund requests directly,1
bot lacks specific instructions for Wix integration,1
bot cannot connect user with human support,1
user's targeting issue unresolved,1
lack of video tutorial for targeting,1
no-specific-cancellation-process-initiated,1
bot repeated information without providing specific guidance on the user's URLs,1
bot cannot access user-specific data like billing,1
bot cannot bypass event testing,1
user needs to email additional information,1
user did not provide enough information about account status,1
bot lacks capability to directly resolve flagged ad issues,1
bot-lacks-capability-to-change-ad-placement,1
bot-did-not-ask-for-clarification,1
bot cannot provide direct human assistance,1
user unable to access Breakdown menu despite troubleshooting,1
bot lacks capability to access ad campaign status,1
user-requested-human-interaction,1
bot-lacks-direct-human-escalation,1
bot-lacks-information-on-promotional-credit,1
bot cannot modify ad schedule,1
user needs to contact support for rescheduling,1
user requested human intervention,1
conversation was escalated to a human,1
bot-cannot-confirm-account-review-status,1
