topic,count,solved,solve_rate
incomplete-conversation,484,484,1.0
business-verification,91,35,0.385
form-submission,77,58,0.753
cancellation,59,2,0.034
ad-rejection,55,23,0.418
account-management,52,16,0.308
ad-approval,51,18,0.353
live-agent-request,42,8,0.19
account-verification,40,6,0.15
ad-credits,36,17,0.472
conversion-tracking,36,14,0.389
billing,32,11,0.344
event-tracking,27,10,0.37
cancellation-request,26,0,0.0
ad-credit,24,12,0.5
technical-support,24,4,0.167
ad-review,22,4,0.182
campaign-management,22,6,0.273
ad-management,20,6,0.3
shopify-integration,20,4,0.2
postback-integration,18,3,0.167
profile-rejection,16,4,0.25
ad-policy,16,9,0.562
api-access,15,8,0.533
pixel-integration,15,5,0.333
postback-setup,15,6,0.4
billing-issue,15,0,0.0
advertising-policy,15,9,0.6
api-integration,14,5,0.357
support-contact,13,4,0.308
billing-issues,13,1,0.077
ad-performance,13,9,0.692
troubleshooting,12,3,0.25
appeal-process,11,7,0.636
pixel-setup,10,3,0.3
user-abandonment,10,1,0.1
ad-creation,10,3,0.3
payment-issues,10,1,0.1
affiliate-program,9,7,0.778
invoice-request,9,3,0.333
campaign-performance,9,1,0.111
ad-targeting,9,1,0.111
campaign-approval,9,3,0.333
technical-issue,9,0,0.0
campaign-setup,9,6,0.667
language-settings,9,5,0.556
event-management,8,4,0.5
payment-method,8,2,0.25
clickbank,8,2,0.25
redtrack-integration,8,3,0.375
clickbank-integration,8,1,0.125
pixel-installation,8,1,0.125
ad-pending,8,0,0.0
profile-verification,8,3,0.375
ad-campaign,7,2,0.286
account-setup,7,5,0.714
billing-support,7,2,0.286
account-access,7,5,0.714
support-escalation,6,0,0.0
ad-status,6,5,0.833
ad-appeal,6,4,0.667
ad-support,6,3,0.5
ad-scheduling,6,2,0.333
ad-delivery,6,1,0.167
plan-upgrade,6,0,0.0
campaign-issues,6,1,0.167
policy-violation,6,2,0.333
ad-placement,6,1,0.167
human-assistance-request,6,0,0.0
ad-spending,6,2,0.333
quota-exceeded,6,0,0.0
bidding-strategy,6,5,0.833
ad-campaign-issues,6,1,0.167
ad-setup,6,4,0.667
human-escalation,5,1,0.2
tracking-setup,5,3,0.6
campaign-optimization,5,3,0.6
celebrity-endorsement,5,1,0.2
reporting,5,1,0.2
user-management,5,1,0.2
campaign-support,5,0,0.0
postback-url,5,2,0.4
human-support-request,5,0,0.0
everflow-integration,5,2,0.4
api-error,5,0,0.0
campaign-troubleshooting,5,3,0.6
invoice-download,5,1,0.2
pixel-tracking,5,2,0.4
greeting,5,1,0.2
billing-inquiry,5,4,0.8
account-status,4,1,0.25
contact-support,4,1,0.25
payment-issue,4,0,0.0
verification,4,2,0.5
advertising,4,1,0.25
ad-verification,4,1,0.25
live-support-request,4,0,0.0
campaign-verification,4,0,0.0
policy-compliance,4,1,0.25
custom-code,4,1,0.25
ad-optimization,4,2,0.5
campaign-status,4,1,0.25
redtrack,4,0,0.0
verification-process,4,1,0.25
clickbank-promotion,4,1,0.25
account-settings,4,1,0.25
business-information,4,1,0.25
account-approval,4,1,0.25
billing-threshold,4,2,0.5
integration,4,2,0.5
tracking-issues,4,1,0.25
pixel-creation,4,2,0.5
